"contrast","metabolite","genotype","beta","se","denDF","lowerCL","upperCL","t","p.value","p.adjustBH","sig"
"Exercise","alaninesarcosine","WT",-0.374264132697289,0.65643667986428,38,-1.66085638336233,0.912328117967749,-0.570145063762538,0.335673216340929,0.396286520590199,FALSE
"Exercise","arginine","WT",-1.20541028068084,0.656436679863457,38,-2.49200253134426,0.0811819699825838,-1.83629330544353,0.0755199636417035,0.241663883653451,FALSE
"Exercise","asparagine","WT",-0.344034875377041,0.656436679862683,38,-1.63062712603895,0.942557375284868,-0.524094533305189,0.344396582608079,0.396286520590199,FALSE
"Exercise","AsparticAcid","WT",-0.631709314200799,0.67085660231341,38,-1.94656409352599,0.683145465124395,-0.941645818230581,0.252762572838604,0.396286520590199,FALSE
"Exercise","CITRIC","WT",1.08549298840108,0.674174144249851,38,-0.23586405363674,2.4068500304389,1.61010771127822,0.10943376263344,0.307677364802087,FALSE
"Exercise","FUMARIC","WT",0.0375982076028245,0.674174144249417,38,-1.28375883443414,1.35895524963979,0.0557692814587008,0.395694556714563,0.396286520590199,FALSE
"Exercise","glutamic","WT",-0.00921256204900892,0.656436679864821,38,-1.29580481271511,1.27737968861709,-0.0140341975571902,0.396286520590199,0.396286520590199,FALSE
"Exercise","glutamine","WT",-1.90178362277711,0.674114686891373,38,-3.2230241305337,-0.580543115020523,-2.82115737834913,0.00971897120469268,0.0583138272281561,FALSE
"Exercise","glycine","WT",-0.633694135832634,0.656436679863819,38,-1.92028638649677,0.652898114831502,-0.965354550212057,0.247099631858482,0.396286520590199,FALSE
"Exercise","histidine","WT",-1.40926133506496,0.656436679864422,38,-2.69585358573028,-0.122669084399647,-2.14683514540355,0.042518390174837,0.15699097910709,FALSE
"Exercise","isoleucine","WT",-0.0710457513280315,0.655954782175089,38,-1.35669349987802,1.21460199722196,-0.108308915886626,0.3939483158145,0.396286520590199,FALSE
"Exercise","LACTIC","WT",0.0517295869642167,0.674174144252104,38,-1.26962745507802,1.37308662900645,0.0767303038914419,0.395131078340496,0.396286520590199,FALSE
"Exercise","leucine","WT",-0.734123142589615,0.655954782175399,38,-2.01977089114021,0.551524605960983,-1.11916730015289,0.210577951780312,0.396286520590199,FALSE
"Exercise","lysine","WT",-2.17232693651113,0.674114686892488,38,-3.4935674442699,-0.851086428752355,-3.22248866365017,0.0035651105600725,0.0244464724119257,TRUE
"Exercise","MALIC","WT",1.74235649897438,0.674174144251499,38,0.42099945693333,3.06371354101543,2.58443091274114,0.0168563095435263,0.0884775816912846,FALSE
"Exercise","methionine","WT",-1.06207279593366,0.674081327099307,38,-2.38324791969927,0.259102327831944,-1.57558554618914,0.115379011800782,0.307677364802087,FALSE
"Exercise","METHYLSUCCINIC","WT",-0.588058206863249,0.709699275263461,38,-1.97904322623381,0.802926812507313,-0.828601954884263,0.279515865435839,0.396286520590199,FALSE
"Exercise","Phenylalanine","WT",0.409186048452719,0.687596440764912,38,-0.938478211344437,1.75685030824987,0.595096228243303,0.330745981049329,0.396286520590199,FALSE
"Exercise","serine","WT",-0.860785814024349,0.656436679862108,38,-2.14737806468513,0.425806436636432,-1.3113006028322,0.167208280866061,0.396286520590199,FALSE
"Exercise","SUCCINIC2","WT",-0.35796182176428,0.674174144250954,38,-1.67931886380426,0.963395220275702,-0.530963438477748,0.343127461018326,0.396286520590199,FALSE
"Exercise","threonine","WT",-1.52864123169324,0.670856602313524,38,-2.84349601101866,-0.213786452367821,-2.27864081000552,0.0326158506472167,0.142323711915127,FALSE
