"contrast","metabolite","genotype","beta","se","denDF","lowerCL","upperCL","t","p.value","p.adjustBH","sig"
"C8","alaninesarcosine","KO",0.725185121903081,0.940200368087976,40,-1.11757373780065,2.56794398160682,0.771309123583777,0.292925161362253,0.373709589675339,FALSE
"C8","arginine","KO",-0.282623527506263,0.914939884878204,40,-2.07587274988677,1.51062569487424,-0.308898466639571,0.377557838205188,0.38522218969245,FALSE
"C8","asparagine","KO",1.10679355003459,0.921512921511379,40,-0.699338587415995,2.91292568748518,1.20106134618203,0.191766854886514,0.373709589675339,FALSE
"C8","AsparticAcid","KO",2.34729937520088,0.916905466467219,40,0.550197683697231,4.14440106670452,2.56002331870141,0.0176750620776778,0.0848402979728533,FALSE
"C8","CITRIC","KO",0.7055755698955,0.941555420279896,40,-1.13983914330157,2.55099028309257,0.749372320203684,0.297903605568799,0.373709589675339,FALSE
"C8","FUMARIC","KO",-0.216025378199689,0.911805746386112,40,-2.00313180201313,1.57108104561375,-0.23692039566091,0.38522218969245,0.38522218969245,FALSE
"C8","glutamic","KO",1.11420105923126,0.914251648189898,40,-0.67769924402732,2.90610136248985,1.21870281714804,0.187761967472344,0.373709589675339,FALSE
"C8","glutamine","KO",0.763637500222593,0.917400271691888,40,-1.03443399170077,2.56170899214595,0.832392930093946,0.278803679806277,0.373709589675339,FALSE
"C8","glycine","KO",0.831151500923904,0.940272140498679,40,-1.01174803011989,2.6740510319677,0.883947811623024,0.266661345988571,0.373709589675339,FALSE
"C8","histidine","KO",-0.440739931034128,0.921344654558971,40,-2.24654227131821,1.36506240924995,-0.478365971792718,0.352702229739858,0.384766068807118,FALSE
"C8","isoleucine","KO",-1.07743647759401,0.908747242369829,40,-2.85854834368897,0.703675388500947,-1.18562833245499,0.195294500653084,0.373709589675339,FALSE
"C8","LACTIC","KO",-2.10470774784704,0.921497453821562,40,-3.91080956918267,-0.29860592651142,-2.28400820763917,0.0321218395814487,0.128487358325795,FALSE
"C8","leucine","KO",-1.48341842367925,0.926579323517615,40,-3.29948052659327,0.332643679234757,-1.60096214757705,0.110980940663298,0.332942821989894,FALSE
"C8","lysine","KO",0.573749988505244,0.92073062761918,40,-1.23084888109131,2.3783488581018,0.623146413613766,0.325225094722581,0.373709589675339,FALSE
"C8","MALIC","KO",-0.578503859777655,0.941416434680738,40,-2.42364616620601,1.2666384466507,-0.614503676020742,0.326995890965921,0.373709589675339,FALSE
"C8","methionine","KO",1.48671669186224,0.895956386376857,40,-0.269325557155057,3.24275894087953,1.65936279317607,0.101276728535204,0.332942821989894,FALSE
"C8","METHYLSUCCINIC","KO",44.1367471065297,0.924502475195682,40,42.324755551528,45.9487386615314,47.7410805170507,2.82456349429876e-37,6.77895238631703e-36,TRUE
"C8","Phenylalanine","KO",-1.31760591992348,0.921102009298696,40,-3.1229326842364,0.487720844389441,-1.43046688273612,0.142567292265048,0.373709589675339,FALSE
"C8","serine","KO",3.5805767841861,0.929029566693629,40,1.75971229289374,5.40144127547847,3.85410423150385,0.000611837725417991,0.00489470180334393,TRUE
"C8","SUCCINIC2","KO",0.915276119737992,0.918831632063193,40,-0.885600786962025,2.71615302643801,0.996130398430866,0.239902194349751,0.373709589675339,FALSE
"C8","threonine","KO",5.58096298683064,0.894129537521414,40,3.82850129577521,7.33342467788607,6.24178349179855,3.49619076989787e-07,4.19542892387744e-06,TRUE
"C8","Tryptophan","KO",-2.46543285755503,0.922966582012736,40,-4.27441411723403,-0.656451597876036,-2.67120490124204,0.0137031512783665,0.0822189076701989,FALSE
"C8","Tyrosine","KO",-0.962275094876044,0.918798928650623,40,-2.76308790406525,0.838537714313164,-1.04731847727475,0.227690665427064,0.373709589675339,FALSE
"C8","valine","KO",0.690248027849188,0.904540192121066,40,-1.08261817127704,2.46311422697542,0.763092711480977,0.294796321976694,0.373709589675339,FALSE
