"contrast","metabolite","genotype","beta","se","denDF","lowerCL","upperCL","t","p.value","p.adjustBH","sig"
"C8","2methylbutyrylcarnitine","KO",-0.191505135112577,1.09067114381171,40,-2.32918129596064,1.94617102573548,-0.175584672061002,0.39024436468437,0.396178197665653,FALSE
"C8","3HMG","KO",0.266878848902938,1.09145333736804,40,-1.87233038314447,2.40608808095034,0.244516957130294,0.38450186747462,0.396178197665653,FALSE
"C8","acetylcarnitine","KO",1.10531288754254,1.09218575163464,40,-1.03533185008915,3.24595762517424,1.01201914224596,0.236106041046371,0.396178197665653,FALSE
"C8","butyrylcarnitine","KO",1.9946534034596,1.09047412783205,40,-0.142636613163946,4.13194342008315,1.82916160278386,0.0763845026604818,0.396178197665653,FALSE
"C8","C101total","KO",0.303707262420339,1.11728111132006,40,-1.88612347637386,2.49353800121454,0.271827080350004,0.381737700314583,0.396178197665653,FALSE
"C8","C12","KO",0.360262273211699,1.09197559339341,40,-1.77997056183613,2.50049510825953,0.329917880391588,0.374975121048074,0.396178197665653,FALSE
"C8","C141total","KO",-0.135920340044833,1.11760987467236,40,-2.32639544316898,2.05455476307931,-0.121616982030227,0.393463603248592,0.396178197665653,FALSE
"C8","C142total","KO",0.121477533759508,1.09230599037881,40,-2.01940286748031,2.26235793499932,0.111211999961092,0.39395225441431,0.396178197665653,FALSE
"C8","C151total","KO",-0.103657288933391,1.09440358880728,40,-2.24864890754705,2.04133432968027,-0.0947157794377852,0.394638530751176,0.396178197665653,FALSE
"C8","C161total","KO",0.415386063028904,1.09397692083482,40,-1.72876930172536,2.55954142778317,0.379702766226477,0.368268011816736,0.396178197665653,FALSE
"C8","C171total","KO",-1.13292067513388,1.09262336874161,40,-3.27442312653426,1.0085817762665,-1.03688124155598,0.230175451981371,0.396178197665653,FALSE
"C8","C181total","KO",0.572559340567372,1.09437561867277,40,-1.57237745758999,2.71749613872474,0.523183567687444,0.344730571186825,0.396178197665653,FALSE
"C8","C182total","KO",-0.8820629997114,1.0933012976054,40,-3.02489416726888,1.26076816784608,-0.806788578448905,0.284764425019729,0.396178197665653,FALSE
"C8","C191total","KO",-4.43021612016345,1.09482281613979,40,-6.57602940925016,-2.28440283107674,-4.0465142439978,0.000349353865043078,0.00768578503094771,TRUE
"C8","carnitine","KO",0.411743014193159,1.11707864287172,40,-1.7776908937343,2.60117692212062,0.368589102316622,0.369835452811433,0.396178197665653,FALSE
"C8","ethylmalonylcarnitine","KO",0.0943519757722509,1.11535877342379,40,-2.09171104997915,2.28041500152365,0.0845933864693788,0.3950057229668,0.396178197665653,FALSE
"C8","isobutyrylcarnitine","KO",0.0596857047795069,1.09268638062212,40,-2.08194024763726,2.20131165719628,0.0546229053807051,0.395851177684374,0.396178197665653,FALSE
"C8","methylsuccinylcarnitine","KO",0.180480439084155,1.14270243876597,40,-2.05917518594324,2.42013606411154,0.157941764156082,0.391422195267849,0.396178197665653,FALSE
"C8","ndecanoylcarnitine","KO",3.64522189078299,1.14532235054728,40,1.40043133302156,5.89001244854443,3.18270388161128,0.0038769769173386,0.0426467460907246,TRUE
"C8","nhexanoylcarnitine","KO",0.944818600558553,1.091052968305,40,-1.19360592254478,3.08324312366188,0.865969506527595,0.270913666412716,0.396178197665653,FALSE
"C8","noctanoylcarnitine","KO",1.94275574709359,1.11780417030451,40,-0.248100168471928,4.1336116626591,1.73801082399285,0.0891335993230777,0.396178197665653,FALSE
"C8","propionylcarnitine","KO",-0.041421965509941,1.11816531292792,40,-2.23298570761062,2.15014177659073,-0.0370445810033916,0.396178197665653,0.396178197665653,FALSE
