"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.780008976915839,0.242543916834012,3.21594945401021,0.00138037067273669
"genotypeKO",0.11118195370278,0.334326441415199,0.332555071720168,0.741297824721174
"activityExercise",0.277650337775674,0.327048682209779,0.848957213035277,0.40122176388072
"metabolitearginine",-0.353420004103779,0.333190715625412,-1.06071384204207,0.289308618671724
"metaboliteCITRIC",0.269904337302975,0.341784726305181,0.789691043894034,0.43006541354897
"metaboliteFUMARIC",-1.708632146672,0.341784726305181,-4.99914716828615,7.86512281432634e-07
"metaboliteglutamine",1.25591351189242,0.333190715625413,3.76935326524635,0.000182279191568428
"metaboliteisoleucine",-0.536856956607657,0.333190715625413,-1.61126025255522,0.107725155803372
"metaboliteLACTIC",1.6755100535942,0.34178472630518,4.90223794289196,1.26559462891717e-06
"metaboliteLCAC total",0.116965924484792,0.333190715625413,0.351047970425114,0.725693455292307
"metaboliteleucine",-0.370627476091652,0.333190715625413,-1.11235835427157,0.266494162646472
"metaboliteMALIC",0.138788415262562,0.341784726305181,0.406069682407744,0.684857172894892
"metaboliteMCAC Total",-1.2621450880325,0.333190715625413,-3.78805599568823,0.000169431901828121
"metaboliteMETHYLSUCCINIC",-2.09688827441658,0.34178472630518,-6.13511404410819,1.67889024833098e-09
"metabolitePYRUVIC_P2P",-0.937742533656223,0.34178472630518,-2.74366424677184,0.0062839651821833
"metaboliteSUCCINIC-2",0.351529020923484,0.34178472630518,1.02851003531856,0.30418448871888
"metabolitevaline",-0.399940888481979,0.333190715625413,-1.20033623305281,0.230551152120191
"genotypeKO:activityExercise",-0.290813698503671,0.430394562463919,-0.675690921462444,0.503328429822551
"genotypeKO:metabolitearginine",-0.0846090798172015,0.464920608492387,-0.181986081648577,0.85566402712321
"genotypeKO:metaboliteCITRIC",-0.180888441960396,0.471117733011042,-0.383955918628426,0.701166868327595
"genotypeKO:metaboliteFUMARIC",-0.14597728434833,0.471117733011042,-0.309853087922098,0.756795863859594
"genotypeKO:metaboliteglutamine",-0.0934294496571807,0.464920608492387,-0.200957858074193,0.840809504036735
"genotypeKO:metaboliteisoleucine",-0.155174955451933,0.464920608492387,-0.333766567059963,0.738689237439813
"genotypeKO:metaboliteLACTIC",-0.213003209877577,0.471117733011042,-0.452123099922849,0.651367401760204
"genotypeKO:metaboliteLCAC total",0.258575178301811,0.464920608492386,0.556170609731201,0.578331639268905
"genotypeKO:metaboliteleucine",-0.151981500996779,0.464920608492386,-0.326897750326909,0.74387576054993
"genotypeKO:metaboliteMALIC",-0.177599044621658,0.471117733011042,-0.376973805436221,0.706345684880546
"genotypeKO:metaboliteMCAC Total",-0.259032114259312,0.464920608492387,-0.557153435506513,0.577660499587318
"genotypeKO:metaboliteMETHYLSUCCINIC",-0.31774895312568,0.471117733011042,-0.674457637361386,0.500317851913272
"genotypeKO:metabolitePYRUVIC_P2P",-2.55131869301781,0.471117733011042,-5.41545884233996,9.32734842359183e-08
"genotypeKO:metaboliteSUCCINIC-2",-0.150257731984882,0.471117733011042,-0.318938816046138,0.749900003838744
"genotypeKO:metabolitevaline",-0.134493397318352,0.464920608492387,-0.289282502994388,0.772479617964684
"activityExercise:metabolitearginine",-0.517529797670638,0.454525504333744,-1.13861552924131,0.255383833267517
"activityExercise:metaboliteCITRIC",-0.203533502331488,0.460862430933979,-0.441636134060677,0.658934720640551
"activityExercise:metaboliteFUMARIC",-0.270432707476904,0.460862430933979,-0.586797033832521,0.557592745131048
"activityExercise:metaboliteglutamine",-0.337667959852244,0.454525504333744,-0.742902117994913,0.457873860500993
"activityExercise:metaboliteisoleucine",-0.28347273388868,0.454525504333744,-0.623667387607221,0.533117429378911
"activityExercise:metaboliteLACTIC",-0.25810780725282,0.460862430933979,-0.560053911814295,0.575682005445385
"activityExercise:metaboliteLCAC total",-0.417079754678812,0.454525504333743,-0.917615734875383,0.359242227251892
"activityExercise:metaboliteleucine",-0.316114064739659,0.454525504333744,-0.695481467432786,0.487061932655635
"activityExercise:metaboliteMALIC",-0.143948530482735,0.460862430933979,-0.312345986178588,0.7549018506444
"activityExercise:metaboliteMCAC Total",-0.374010772354966,0.454525504333744,-0.822859814881458,0.410962021122054
"activityExercise:metaboliteMETHYLSUCCINIC",-0.399703609727537,0.460862430933979,-0.86729484309993,0.386177467138119
"activityExercise:metabolitePYRUVIC_P2P",-1.33001536655059,0.460862430933979,-2.88592707341146,0.00406352169768271
"activityExercise:metaboliteSUCCINIC-2",-0.308756859761609,0.460862430933979,-0.669954500599854,0.503181914716088
"activityExercise:metabolitevaline",-0.250191446174465,0.454525504333744,-0.550445340886212,0.582248529026727
"genotypeKO:activityExercise:metabolitearginine",0.374841120918092,0.579111481836539,0.64726936466422,0.517741076838639
"genotypeKO:activityExercise:metaboliteCITRIC",0.220646551162664,0.613400413435853,0.359710470240396,0.719208583319029
"genotypeKO:activityExercise:metaboliteFUMARIC",0.192002104943905,0.597828705342941,0.321165750704066,0.748212841630642
"genotypeKO:activityExercise:metaboliteglutamine",0.184625486978323,0.581135180366399,0.317698004209484,0.75084058464022
"genotypeKO:activityExercise:metaboliteisoleucine",0.359789336737609,0.593579341595541,0.606135206408121,0.54468745125891
"genotypeKO:activityExercise:metaboliteLACTIC",0.224232311241346,0.605973024387036,0.370036787476085,0.711504592712866
"genotypeKO:activityExercise:metaboliteLCAC total",0.376082021233751,0.60827460153368,0.618276712993625,0.536661589796164
"genotypeKO:activityExercise:metaboliteleucine",-0.484215232422347,0.606517283926452,-0.798353559337419,0.425027015925625
"genotypeKO:activityExercise:metaboliteMALIC",0.190820704019491,0.606648794772339,0.314548888358216,0.753229394575795
"genotypeKO:activityExercise:metaboliteMCAC Total",0.370156561003354,0.605519704436626,0.611303906860878,0.541263502733079
"genotypeKO:activityExercise:metaboliteMETHYLSUCCINIC",0.532367278881255,0.602610186392333,0.883435578924406,0.377406102492218
"genotypeKO:activityExercise:metabolitePYRUVIC_P2P",2.16927020574968,0.61933834113194,3.50256081641093,0.000500182970804512
"genotypeKO:activityExercise:metaboliteSUCCINIC-2",0.108976642265619,0.61910919423081,0.176021682897171,0.860344911618022
"genotypeKO:activityExercise:metabolitevaline",0.4109778189402,0.596004358843358,0.68955505583511,0.490779283141534
