"term","estimate","std.error","statistic","p.value"
"(Intercept)",-3.48518224696637e-14,0.475774108448258,-7.32528774702206e-14,0.999999999999942
"conditionWTEX",-0.374264132697304,0.656436679864025,-0.570145063762783,0.571935156400962
"conditionKOREST",0.461707518258782,0.672846196793486,0.686200680718854,0.496752423157883
"conditionKOEX",0.000907329447512645,0.653945541939388,0.00138746942875672,0.998900218347385
"metabolitearginine",3.20129642262624e-14,0.640265318103414,4.99995288220371e-14,0.99999999999996
"metaboliteasparagine",3.32240002985806e-14,0.640265318103411,5.18909885623611e-14,0.999999999999959
"metaboliteAspartic Acid",4.05359213580785e-14,0.64026531810341,6.33111308889162e-14,0.999999999999949
"metaboliteCITRIC",0.0134814253448253,0.658438561805202,0.0204748417344574,0.983669386426012
"metaboliteFUMARIC",0.0134814253448292,0.65843856180521,0.0204748417344631,0.983669386426007
"metaboliteglutamic",3.57486463673581e-14,0.640265318103414,5.58341133848266e-14,0.999999999999955
"metaboliteglutamine",-0.0395393052017825,0.658377683383728,-0.0600556583245206,0.952125422351513
"metaboliteglycine",3.41368372780605e-14,0.640265318103409,5.33167052983292e-14,0.999999999999957
"metabolitehistidine",3.01804066556712e-14,0.640265318103408,4.71373441639343e-14,0.999999999999962
"metaboliteisoleucine",3.57490612802507e-14,0.640265318103415,5.5834761417573e-14,0.999999999999955
"metaboliteLACTIC",0.0134814253448321,0.658438561805203,0.0204748417344678,0.983669386426003
"metaboliteleucine",3.44708410399109e-14,0.64026531810341,5.38383699151786e-14,0.999999999999957
"metabolitelysine",-0.0395393052017729,0.658377683383724,-0.0600556583245063,0.952125422351524
"metaboliteMALIC",0.0134814253448286,0.658438561805207,0.0204748417344623,0.983669386426008
"metabolitemethionine",-0.0103601975230515,0.658343526161974,-0.0157367652469367,0.987448089088563
"metaboliteMETHYLSUCCINIC",-0.0293151148390997,0.680388751541486,-0.0430858311115278,0.965643232860958
"metabolitePhenylalanine",0.0562396533510369,0.658343526161976,0.0854259989141292,0.93194284141673
"metaboliteserine",3.4262859866553e-14,0.640265318103411,5.35135339956351e-14,0.999999999999957
"metaboliteSUCCINIC-2",0.0134814253448343,0.658438561805206,0.0204748417344711,0.983669386426001
"metabolitethreonine",3.73746135944643e-14,0.64026531810341,5.83736343945274e-14,0.999999999999953
"metaboliteTryptophan",3.98887404418579e-14,0.640265318103411,6.23003297445754e-14,0.99999999999995
"metaboliteTyrosine",2.7660510748145e-14,0.640265318103413,4.32016383927849e-14,0.999999999999966
"metabolitevaline",2.72878548912538e-14,0.640265318103411,4.26196049039259e-14,0.999999999999966
"conditionWTEX:metabolitearginine",-0.831146147984357,0.884653667667199,-0.939515856161044,0.347732854922768
"conditionKOREST:metabolitearginine",-0.346127945522569,0.905471896378967,-0.382262494183148,0.702362226066244
"conditionKOEX:metabolitearginine",-0.691040614514785,0.877436637631411,-0.787567540352781,0.431169260774959
"conditionWTEX:metaboliteasparagine",0.0302292573185765,0.8846536676672,0.034170725136188,0.972749033264507
"conditionKOREST:metaboliteasparagine",0.000962537962068443,0.905471896378968,0.0010630235636442,0.999152079495732
"conditionKOEX:metaboliteasparagine",0.589884329525962,0.877971123413435,0.671872130865274,0.501847670485106
"conditionWTEX:metaboliteAspartic Acid",-0.257445181503553,0.895442563311219,-0.287506080291245,0.773794925146302
"conditionKOREST:metaboliteAspartic Acid",-0.365752555301041,0.905471896378971,-0.403935844683534,0.686361500840213
"conditionKOEX:metaboliteAspartic Acid",0.311476850118388,0.87495851339772,0.355990421658773,0.721936072640486
"conditionWTEX:metaboliteCITRIC",1.4597571210946,0.897894077173399,1.62575648754691,0.104372140629225
"conditionKOREST:metaboliteCITRIC",-1.2138171791754,0.918412226202463,-1.32164745257629,0.186641173727006
"conditionKOEX:metaboliteCITRIC",-1.16824812445332,0.901740744655609,-1.29554767418156,0.195483083205038
"conditionWTEX:metaboliteFUMARIC",0.411862340295705,0.897894077173401,0.458698136858483,0.646568213154298
"conditionKOREST:metaboliteFUMARIC",-1.27879452951185,0.931128591726692,-1.37338122883806,0.169995996929542
"conditionKOEX:metaboliteFUMARIC",-0.63630672941846,0.895234985283647,-0.710770624337086,0.477421364054092
"conditionWTEX:metaboliteglutamic",0.365051570650008,0.8846536676672,0.41264913490116,0.679967756233824
"conditionKOREST:metaboliteglutamic",-0.921627168555721,0.905471896378966,-1.01784182616971,0.309042749211557
"conditionKOEX:metaboliteglutamic",-0.917600299140866,0.877218560351249,-1.04603383992861,0.295842774879279
"conditionWTEX:metaboliteglutamine",-1.52751949007946,0.897849435110748,-1.70130918430777,0.0892506650456452
"conditionKOREST:metaboliteglutamine",-0.483444587815869,0.918368581531288,-0.52641673238622,0.598736022353396
"conditionKOEX:metaboliteglutamine",-1.67951278854308,0.890055461500256,-1.88697543152213,0.0595041840042158
"conditionWTEX:metaboliteglycine",-0.259430003136188,0.884653667667198,-0.293256008105744,0.769398057074724
