"term","estimate","std.error","statistic","p.value","p.adjustBH","sig"
"conditionKOEX",-1.02410937975553,1.09067114602292,-0.938971736338574,0.353380941985709,0.542398655140856,FALSE
"conditionKOC7",0.0175331517843504,1.11677731497339,0.015699774296336,0.987551955685236,0.997483673742638,FALSE
"conditionKOC8",-1.21561451291138,1.09167310438347,-1.11353344515885,0.272126247952996,0.464793873595584,FALSE
"conditionKOEX:metabolite3HMG",0.272206132652726,1.46142120426534,0.186261244778889,0.852285965720118,0.878919902148872,FALSE
"conditionKOC7:metabolite3HMG",-0.863223228889371,1.50241518747976,-0.574557043940291,0.565748496477836,0.718065399375715,FALSE
"conditionKOC8:metabolite3HMG",0.730590114561519,1.46492601873043,0.498721508950112,0.618109341346793,0.737341930239116,FALSE
"conditionKOEX:metaboliteacetylcarnitine",-2.16802756137402,1.46232842686316,-1.48258593729498,0.138568657811341,0.295017142437049,FALSE
"conditionKOC7:metaboliteacetylcarnitine",-2.48793474620179,1.48372829209337,-1.67681290399309,0.0939602123423641,0.22147764337843,FALSE
"conditionKOC8:metaboliteacetylcarnitine",-0.871209537729478,1.46492601873043,-0.594712310785843,0.552199849893702,0.718065399375715,FALSE
"conditionKOEX:metabolitebutyrylcarnitine",-1.47115703088615,1.46333852315533,-1.00534292483052,0.315028320395394,0.5197967286524,FALSE
"conditionKOC7:metabolitebutyrylcarnitine",-1.71303443635719,1.5025598083644,-1.14007737117759,0.254586959348601,0.464793873595584,FALSE
"conditionKOC8:metabolitebutyrylcarnitine",0.715001507684803,1.46492601873043,0.488080284289344,0.625623455960462,0.737341930239116,FALSE
"conditionKOEX:metaboliteC10:1 total",-0.00467394989590844,1.48157634880296,-0.00315471416622219,0.997483673742638,0.997483673742638,FALSE
"conditionKOC7:metaboliteC10:1 total",-0.927461076843898,1.50229379769209,-0.617363313533423,0.537166505735737,0.718065399375715,FALSE
"conditionKOC8:metaboliteC10:1 total",0.490538445825935,1.50235834748789,0.326512277610844,0.744120119557592,0.792127869206469,FALSE
"conditionKOEX:metaboliteC12",0.861619552318338,1.46330272211676,0.588818389589239,0.556145268751717,0.718065399375715,FALSE
"conditionKOC7:metaboliteC12",2.65578250366413,1.5025598083644,1.76750535245253,0.0775155050125706,0.189482345586284,FALSE
"conditionKOC8:metaboliteC12",1.41338696049922,1.46492601873043,0.964817978811057,0.334920435044676,0.536674153523542,FALSE
"conditionKOEX:metaboliteC14:1 total",0.850142492622638,1.46022606858862,0.582199229907147,0.56059252592721,0.718065399375715,FALSE
"conditionKOC7:metaboliteC14:1 total",3.27226369476353,1.48372829209337,2.2054332401701,0.0277004845780431,0.0810656383643794,FALSE
"conditionKOC8:metaboliteC14:1 total",0.905727285618027,1.48379364954859,0.610413237644986,0.541757236572463,0.718065399375715,FALSE
"conditionKOEX:metaboliteC14:2 total",0.406889017895682,1.46077648202369,0.278542968690185,0.780665810425034,0.817840372826226,FALSE
"conditionKOC7:metaboliteC14:2 total",1.89824741020018,1.48372829209337,1.2793767028072,0.20112632204056,0.379266778705055,FALSE
"conditionKOC8:metaboliteC14:2 total",0.71987168389418,1.46492601873043,0.491404804536171,0.623271667173539,0.737341930239116,FALSE
"conditionKOEX:metaboliteC15:1 total",0.815232312748934,1.46538909585201,0.556324811653481,0.578140605576669,0.719948678642645,FALSE
"conditionKOC7:metaboliteC15:1 total",9.20871870665927,1.48372829209337,6.2064724085478,8.59563883085254e-10,1.13462432567254e-08,TRUE
"conditionKOC8:metaboliteC15:1 total",0.903080156969506,1.46492601873043,0.616468098335884,0.537756721117642,0.718065399375715,FALSE
"conditionKOEX:metaboliteC16:1 total",5.46024247466515,1.46614783271295,3.72421003723858,0.000209335528003555,0.00106278037294112,TRUE
"conditionKOC7:metaboliteC16:1 total",5.98473627356355,1.48372829209337,4.03357966917229,6.00631431002237e-05,0.000330347287051231,TRUE
"conditionKOC8:metaboliteC16:1 total",6.06713367093566,1.46492601873043,4.14159731847325,3.80640766532137e-05,0.000228384459919282,TRUE
"conditionKOEX:metaboliteC17:1 total",4.18431875613332,1.4600553989718,2.86586300703384,0.0042651549978227,0.0165588370503705,TRUE
"conditionKOC7:metaboliteC17:1 total",26.9662901142927,1.48372829209337,18.1746821557513,2.77146526625657e-62,9.14583537864669e-61,TRUE
"conditionKOC8:metaboliteC17:1 total",3.24290321398788,1.46492601873043,2.21369760146544,0.0271240839609372,0.0810656383643794,FALSE
"conditionKOEX:metaboliteC18:1 total",6.05249056266898,1.46070835930935,4.14353113275172,3.77509250163966e-05,0.000228384459919282,TRUE
"conditionKOC7:metaboliteC18:1 total",2.31199738789093,1.48372829209337,1.55823502201267,0.119563389014732,0.26303945583241,FALSE
"conditionKOC8:metaboliteC18:1 total",6.81655503632161,1.46492601873043,4.65317357270311,3.81007569216875e-06,3.59235708118768e-05,TRUE
"conditionKOEX:metaboliteC18:2 total",6.97879912358534,1.46035400164135,4.77884068913538,2.08901374043889e-06,2.29791511448278e-05,TRUE
